fundingTime,fundingIntervalHours,fundingRate
1742140800000,8,0.00001247
1742169600000,8,0.00001065
1742198400000,8,0.00008474
1742227200000,8,0.00000859
1742256000000,8,0.00000703
1742284800000,8,0.00002059
1742313600000,8,0.00003514
1742342400000,8,0.00000200
1742371200000,8,0.00005961
1742400000000,8,0.00005024
1742428800000,8,0.00001944
1742457600000,8,0.00003790
1742486400000,8,0.00001086
1742515200000,8,0.00001615
1742544000000,8,0.00005324
1742572800000,8,0.00002518
1742601600000,8,0.00002836
1742630400004,8,-0.00001770
1742659200000,8,0.00005092
1742688000000,8,0.00002099
1742716800000,8,-0.00000184
1742745600000,8,0.00004020
1742774400000,8,0.00002039
1742803200000,8,0.00005512
1742832000000,8,-0.00003422
1742860800001,8,-0.00000247
1742889600000,8,0.00001150
1742918400000,8,-0.00003776
1742947200000,8,-0.00002990
1742976000000,8,0.00001659
1743004800001,8,-0.00003082
1743033600001,8,0.00003136
1743062400001,8,0.00005512
1743091200002,8,-0.00003760
1743120000001,8,0.00001584
1743148800001,8,-0.00000457
1743177600000,8,0.00008118
1743206400000,8,0.00005364
1743235200000,8,0.00008214
1743264000000,8,0.00002530
1743292800000,8,0.00000341
1743321600000,8,0.00000427
1743350400000,8,0.00004588
1743379200000,8,0.00002643
1743408000000,8,0.00006020
1743436800000,8,0.00001845
1743465600000,8,0.00003961
1743494400001,8,0.00002889
1743523200000,8,0.00003573
1743552000001,8,-0.00002112
1743580800000,8,0.00003036
1743609600000,8,0.00000733
1743638400000,8,0.00005862
1743667200000,8,0.00005038
1743696000000,8,0.00006484
1743724800000,8,0.00004283
1743753600000,8,0.00004736
1743782400000,8,0.00008038
1743811200000,8,0.00008559
1743840000000,8,0.00007437
1743868800000,8,0.00000408
1743897600000,8,0.00000221
1743926400000,8,0.00005363
1743955200002,8,-0.00000603
1743984000000,8,0.00004946
1744012800000,8,0.00006857
1744041600000,8,0.00004998
1744070400000,8,0.00004074
1744099200000,8,0.00003575
1744128000000,8,0.00003134
1744156800000,8,0.00009568
1744185600001,8,-0.00002252
1744214400000,8,0.00006856
1744243200000,8,0.00007705
1744272000000,8,0.00000114
1744300800000,8,0.00006775
1744329600001,8,0.00002065
1744358400000,8,-0.00004294
1744387200000,8,0.00003290
1744416000000,8,0.00003654
1744444800001,8,0.00005640
1744473600000,8,0.00005388
1744502400000,8,0.00005057
1744531200000,8,0.00008429
1744560000000,8,0.00009642
1744588800000,8,0.00008113
1744617600000,8,0.00007127
1744646400000,8,0.00002428
1744675200000,8,-0.00002073
1744704000000,8,0.00006606
1744732800001,8,0.00001883
1744761600000,8,0.00002428
1744790400000,8,0.00006917
1744819200000,8,0.00001978
1744848000001,8,0.00001404
1744876800000,8,0.00005679
1744905600001,8,0.00003425
1744934400000,8,0.00001788
1744963200000,8,0.00007071
1744992000000,8,0.00002995
1745020800000,8,0.00002930
1745049600000,8,0.00006024
1745078400000,8,-0.00001953
1745107200000,8,-0.00000298
1745136000000,8,-0.00001078
1745164800000,8,-0.00002258
1745193600000,8,0.00005232
1745222400005,8,0.00005403
1745251200003,8,0.00001553
1745280000008,8,0.00007749
1745308800000,8,-0.00000744
1745337600000,8,-0.00007045
1745366400000,8,-0.00001389
1745395200002,8,0.00001374
1745424000000,8,0.00004587
1745452800000,8,-0.00002671
1745481600001,8,0.00005210
1745510400001,8,-0.00002165
1745539200007,8,-0.00001764
1745568000002,8,0.00000170
1745596800003,8,0.00000120
1745625600002,8,-0.00010085
1745654400000,8,-0.00002774
1745683200002,8,0.00002855
1745712000001,8,-0.00001500
1745740800000,8,-0.00000660
1745769600000,8,-0.00000421
1745798400001,8,0.00000373
1745827200003,8,0.00000246
1745856000005,8,-0.00005821
1745884800000,8,-0.00000773
1745913600000,8,0.00000413
1745942400010,8,0.00001305
1745971200001,8,-0.00005181
1746000000000,8,0.00002939
1746028800003,8,-0.00003797
1746057600000,8,0.00003519
1746086400000,8,0.00005755
1746115200001,8,-0.00008028
1746144000000,8,-0.00012232
1746172800000,8,-0.00009382
1746201600003,8,-0.00008689
1746230400000,8,-0.00005953
1746259200000,8,0.00003198
1746288000000,8,-0.00001483
1746316800001,8,0.00000370
1746345600001,8,0.00003229
1746374400002,8,0.00003745
1746403200000,8,-0.00002404
1746432000000,8,0.00003636
1746460800006,8,-0.00002247
1746489600002,8,0.00001978
1746518400005,8,0.00004440
1746547200000,8,0.00000757
1746576000002,8,0.00001218
1746604800000,8,-2.5E-7
1746633600006,8,0.00001320
1746662400000,8,0.00002318
1746691200001,8,0.00004608
1746720000002,8,0.00005728
1746748800001,8,0.00010000
1746777600006,8,0.00010000
1746806400000,8,0.00004378
1746835200001,8,0.00009657
1746864000000,8,0.00010000
1746892800001,8,0.00004257
1746921600000,8,0.00010000
1746950400001,8,0.00004150
1746979200001,8,0.00010000
1747008000004,8,0.00004454
1747036800000,8,0.00010000
1747065600000,8,0.00002301
1747094400000,8,0.00006847
1747123200008,8,0.00010000
1747152000001,8,0.00007256
1747180800007,8,0.00009921
1747209600000,8,0.00007542
1747238400002,8,0.00003175
1747267200000,8,0.00002978
1747296000003,8,0.00005336
1747324800000,8,0.00001439
1747353600001,8,0.00004504
1747382400000,8,0.00007535
1747411200000,8,0.00004768
1747440000000,8,0.00002821
1747468800001,8,0.00003340
1747497600004,8,0.00000597
1747526400000,8,0.00006742
1747555200000,8,0.00005903
1747584000000,8,0.00010000
